Feature Set,Model,Train Samples,Test Samples,Fold Accuracy,Fold Balanced Acc,Fold F1 Score,Fold Sensitivity,Fold Specificity,Fold ROC-AUC,Train Time (s),win_size
ACC_3_Magnitude_TimeDomain,LR,215126.4000 ± 9307.1754,53781.6000 ± 9307.1754,0.4595 ± 0.0639,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,4.4172 ± 0.2277,2
ACC_3_Magnitude_TimeDomain,DT,215126.4000 ± 9307.1754,53781.6000 ± 9307.1754,0.6051 ± 0.0699,0.6059 ± 0.0622,0.6119 ± 0.0787,0.5878 ± 0.1121,0.6241 ± 0.0911,0.6085 ± 0.0635,4.2665 ± 0.2344,2
ACC_4_Magnitude_PSD,RF,215126.4000 ± 9307.1754,53781.6000 ± 9307.1754,0.6882 ± 0.0803,0.6994 ± 0.0726,0.6939 ± 0.0703,0.6623 ± 0.1488,0.7365 ± 0.1686,0.7844 ± 0.0817,224.1261 ± 15.1441,2
ACC_4_Magnitude_PSD,XGB,215126.4000 ± 9307.1754,53781.6000 ± 9307.1754,0.6413 ± 0.1039,0.6574 ± 0.0831,0.6118 ± 0.1054,0.5326 ± 0.1500,0.7822 ± 0.1245,0.7412 ± 0.1071,12.9111 ± 0.6173,2
ACC_4_Magnitude_PSD,GB,215126.4000 ± 9307.1754,53781.6000 ± 9307.1754,0.6314 ± 0.0826,0.6454 ± 0.0600,0.5947 ± 0.0758,0.5041 ± 0.1002,0.7868 ± 0.0924,0.7249 ± 0.0854,600.5885 ± 100.5113,2
ACC_4_Magnitude_PSD,LR,215126.4000 ± 9307.1754,53781.6000 ± 9307.1754,0.4994 ± 0.0783,0.5000 ± 0.0000,0.1500 ± 0.3353,0.2000 ± 0.4472,0.8000 ± 0.4472,0.5000 ± 0.0000,3.9134 ± 1.1488,2
ACC_4_Magnitude_PSD,DT,215126.4000 ± 9307.1754,53781.6000 ± 9307.1754,0.6261 ± 0.0529,0.6337 ± 0.0484,0.6352 ± 0.0395,0.6109 ± 0.1141,0.6565 ± 0.1301,0.6344 ± 0.0489,7.2228 ± 8.0659,2
ACC_5_Integrative_Magnitude,RF,215126.4000 ± 9307.1754,53781.6000 ± 9307.1754,0.6973 ± 0.0858,0.7074 ± 0.0763,0.6865 ± 0.0847,0.6204 ± 0.1360,0.7944 ± 0.1262,0.8062 ± 0.0751,274.5742 ± 38.0680,2
ACC_5_Integrative_Magnitude,XGB,215126.4000 ± 9307.1754,53781.6000 ± 9307.1754,0.7037 ± 0.0762,0.7148 ± 0.0654,0.6862 ± 0.0700,0.6012 ± 0.1017,0.8284 ± 0.1107,0.8180 ± 0.0775,20.3168 ± 0.8010,2
ACC_5_Integrative_Magnitude,GB,215126.4000 ± 9307.1754,53781.6000 ± 9307.1754,0.6984 ± 0.0857,0.7091 ± 0.0760,0.6803 ± 0.0781,0.5934 ± 0.0979,0.8248 ± 0.1108,0.8025 ± 0.0826,1409.7014 ± 170.7700,2
