Feature Set,Model,Train Samples,Test Samples,Fold Accuracy,Fold Balanced Acc,Fold F1 Score,Fold Sensitivity,Fold Specificity,Fold ROC-AUC,Train Time (s),win_size
6_All_Combined,LR,14190.4000 ± 624.9734,3547.6000 ± 624.9734,0.4577 ± 0.0639,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,3.0531 ± 0.7004,30
6_All_Combined,DT,14190.4000 ± 624.9734,3547.6000 ± 624.9734,0.5192 ± 0.0449,0.5312 ± 0.0445,0.4509 ± 0.0685,0.3685 ± 0.0682,0.6939 ± 0.0922,0.5326 ± 0.0434,1.3179 ± 0.1058,30
ACC_1_TimeDomain_Stats_XYZ,RF,14190.4000 ± 624.9734,3547.6000 ± 624.9734,0.6099 ± 0.0911,0.6344 ± 0.0636,0.5118 ± 0.1214,0.3896 ± 0.1300,0.8791 ± 0.0796,0.6725 ± 0.0602,16.5093 ± 3.9209,30
ACC_1_TimeDomain_Stats_XYZ,XGB,14190.4000 ± 624.9734,3547.6000 ± 624.9734,0.6074 ± 0.1084,0.6310 ± 0.0816,0.5314 ± 0.1485,0.4311 ± 0.1653,0.8309 ± 0.0938,0.6891 ± 0.0878,6.0038 ± 0.9079,30
ACC_1_TimeDomain_Stats_XYZ,GB,14190.4000 ± 624.9734,3547.6000 ± 624.9734,0.6112 ± 0.1105,0.6329 ± 0.0853,0.5265 ± 0.1606,0.4184 ± 0.1582,0.8474 ± 0.0829,0.6829 ± 0.1021,91.3522 ± 14.9415,30
ACC_1_TimeDomain_Stats_XYZ,LR,14190.4000 ± 624.9734,3547.6000 ± 624.9734,0.4577 ± 0.0639,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,0.2361 ± 0.0222,30
ACC_1_TimeDomain_Stats_XYZ,DT,14190.4000 ± 624.9734,3547.6000 ± 624.9734,0.5688 ± 0.0677,0.5841 ± 0.0591,0.5047 ± 0.0969,0.4145 ± 0.1086,0.7537 ± 0.0625,0.5846 ± 0.0586,4.5135 ± 8.9291,30
ACC_2_PSD_Frequency_XYZ,RF,14190.4000 ± 624.9734,3547.6000 ± 624.9734,0.5910 ± 0.0688,0.6044 ± 0.0607,0.5446 ± 0.0665,0.4595 ± 0.1105,0.7493 ± 0.1325,0.6232 ± 0.0788,24.2258 ± 11.2689,30
ACC_2_PSD_Frequency_XYZ,XGB,14190.4000 ± 624.9734,3547.6000 ± 624.9734,0.5781 ± 0.0506,0.5920 ± 0.0431,0.5193 ± 0.0537,0.4279 ± 0.0897,0.7562 ± 0.1178,0.6142 ± 0.0497,8.0447 ± 1.3471,30
ACC_2_PSD_Frequency_XYZ,GB,14190.4000 ± 624.9734,3547.6000 ± 624.9734,0.5869 ± 0.0707,0.6024 ± 0.0570,0.5318 ± 0.0681,0.4421 ± 0.1119,0.7627 ± 0.1232,0.6229 ± 0.0870,87.7872 ± 4.1760,30
ACC_2_PSD_Frequency_XYZ,LR,14190.4000 ± 624.9734,3547.6000 ± 624.9734,0.4577 ± 0.0639,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,0.4851 ± 0.1661,30
ACC_2_PSD_Frequency_XYZ,DT,14190.4000 ± 624.9734,3547.6000 ± 624.9734,0.5240 ± 0.0292,0.5310 ± 0.0365,0.5076 ± 0.0625,0.4591 ± 0.0761,0.6029 ± 0.0878,0.5316 ± 0.0346,0.6076 ± 0.0420,30
ACC_3_Magnitude_TimeDomain,RF,14190.4000 ± 624.9734,3547.6000 ± 624.9734,0.5672 ± 0.0288,0.5833 ± 0.0350,0.4775 ± 0.0882,0.3746 ± 0.0938,0.7920 ± 0.0841,0.6190 ± 0.0431,8.4673 ± 2.4793,30
ACC_3_Magnitude_TimeDomain,XGB,14190.4000 ± 624.9734,3547.6000 ± 624.9734,0.5640 ± 0.0390,0.5793 ± 0.0355,0.4880 ± 0.0846,0.3940 ± 0.1034,0.7646 ± 0.0971,0.6378 ± 0.0367,2.2539 ± 0.2649,30
ACC_3_Magnitude_TimeDomain,GB,14190.4000 ± 624.9734,3547.6000 ± 624.9734,0.5745 ± 0.0306,0.5874 ± 0.0401,0.5043 ± 0.0932,0.4108 ± 0.1022,0.7639 ± 0.0894,0.6300 ± 0.0623,39.1719 ± 1.8264,30
ACC_3_Magnitude_TimeDomain,LR,14190.4000 ± 624.9734,3547.6000 ± 624.9734,0.4577 ± 0.0639,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5029 ± 0.0064,0.0628 ± 0.0005,30
ACC_3_Magnitude_TimeDomain,DT,14190.4000 ± 624.9734,3547.6000 ± 624.9734,0.5295 ± 0.0272,0.5385 ± 0.0278,0.4794 ± 0.0726,0.4071 ± 0.0825,0.6699 ± 0.0672,0.5385 ± 0.0278,0.1813 ± 0.0114,30
ACC_4_Magnitude_PSD,RF,14190.4000 ± 624.9734,3547.6000 ± 624.9734,0.5213 ± 0.0545,0.5355 ± 0.0456,0.5067 ± 0.0611,0.4644 ± 0.1082,0.6065 ± 0.1125,0.5621 ± 0.0446,12.1376 ± 2.5236,30
ACC_4_Magnitude_PSD,XGB,14190.4000 ± 624.9734,3547.6000 ± 624.9734,0.5464 ± 0.0250,0.5584 ± 0.0321,0.5108 ± 0.0402,0.4402 ± 0.0380,0.6766 ± 0.0744,0.5757 ± 0.0429,2.7324 ± 0.4250,30
ACC_4_Magnitude_PSD,GB,14190.4000 ± 624.9734,3547.6000 ± 624.9734,0.5192 ± 0.0246,0.5356 ± 0.0149,0.4660 ± 0.0347,0.3922 ± 0.0614,0.6789 ± 0.0598,0.5535 ± 0.0338,32.0704 ± 1.4366,30
ACC_4_Magnitude_PSD,LR,14190.4000 ± 624.9734,3547.6000 ± 624.9734,0.4983 ± 0.0794,0.5000 ± 0.0000,0.1502 ± 0.3359,0.2000 ± 0.4472,0.8000 ± 0.4472,0.5000 ± 0.0000,0.1068 ± 0.0247,30
ACC_4_Magnitude_PSD,DT,14190.4000 ± 624.9734,3547.6000 ± 624.9734,0.5104 ± 0.0301,0.5157 ± 0.0305,0.5102 ± 0.0193,0.4728 ± 0.0269,0.5586 ± 0.0577,0.5185 ± 0.0329,0.2071 ± 0.0162,30
ACC_5_Integrative_Magnitude,RF,14190.4000 ± 624.9734,3547.6000 ± 624.9734,0.5911 ± 0.0260,0.6057 ± 0.0365,0.5156 ± 0.0910,0.4153 ± 0.1108,0.7961 ± 0.1151,0.6351 ± 0.0458,13.9721 ± 3.2797,30
ACC_5_Integrative_Magnitude,XGB,14190.4000 ± 624.9734,3547.6000 ± 624.9734,0.5868 ± 0.0539,0.5997 ± 0.0489,0.5232 ± 0.0837,0.4275 ± 0.0954,0.7719 ± 0.0960,0.6425 ± 0.0541,4.5454 ± 0.5465,30
ACC_5_Integrative_Magnitude,GB,14190.4000 ± 624.9734,3547.6000 ± 624.9734,0.5866 ± 0.0342,0.6005 ± 0.0418,0.5156 ± 0.0954,0.4195 ± 0.1132,0.7814 ± 0.1087,0.6309 ± 0.0548,73.0851 ± 8.9623,30
ACC_5_Integrative_Magnitude,LR,14190.4000 ± 624.9734,3547.6000 ± 624.9734,0.4983 ± 0.0794,0.5000 ± 0.0000,0.1502 ± 0.3359,0.2000 ± 0.4472,0.8000 ± 0.4472,0.5000 ± 0.0000,0.2850 ± 0.0531,30
ACC_5_Integrative_Magnitude,DT,14190.4000 ± 624.9734,3547.6000 ± 624.9734,0.5460 ± 0.0564,0.5522 ± 0.0543,0.5054 ± 0.1274,0.4483 ± 0.1490,0.6561 ± 0.0858,0.5551 ± 0.0522,0.4435 ± 0.0267,30
Feature Set,Model,Train Samples,Test Samples,Fold Accuracy,Fold Balanced Acc,Fold F1 Score,Fold Sensitivity,Fold Specificity,Fold ROC-AUC,Train Time (s),60
6_All_Combined,RF,7029.6000 ± 309.5913,1757.4000 ± 309.5913,0.6272 ± 0.1208,0.6488 ± 0.0842,0.5359 ± 0.1777,0.4327 ± 0.2018,0.8650 ± 0.0855,0.6963 ± 0.1222,13.1399 ± 3.5579,60
6_All_Combined,XGB,7029.6000 ± 309.5913,1757.4000 ± 309.5913,0.6323 ± 0.0735,0.6494 ± 0.0576,0.5826 ± 0.0882,0.4911 ± 0.1328,0.8077 ± 0.0907,0.7094 ± 0.1012,12.4648 ± 1.2352,60
6_All_Combined,GB,7029.6000 ± 309.5913,1757.4000 ± 309.5913,0.6295 ± 0.0878,0.6481 ± 0.0579,0.5642 ± 0.1082,0.4626 ± 0.1469,0.8336 ± 0.0908,0.7044 ± 0.0872,107.0127 ± 24.3699,60
6_All_Combined,LR,7029.6000 ± 309.5913,1757.4000 ± 309.5913,0.4632 ± 0.0641,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,1.4139 ± 0.3569,60
6_All_Combined,DT,7029.6000 ± 309.5913,1757.4000 ± 309.5913,0.5429 ± 0.0376,0.5452 ± 0.0399,0.5162 ± 0.0629,0.4597 ± 0.0660,0.6308 ± 0.0909,0.5596 ± 0.0510,0.6433 ± 0.0351,60
ACC_1_TimeDomain_Stats_XYZ,RF,7029.6000 ± 309.5913,1757.4000 ± 309.5913,0.5756 ± 0.1257,0.5991 ± 0.0892,0.4690 ± 0.1922,0.3823 ± 0.2067,0.8159 ± 0.0889,0.6574 ± 0.1285,7.4428 ± 2.1308,60
ACC_1_TimeDomain_Stats_XYZ,XGB,7029.6000 ± 309.5913,1757.4000 ± 309.5913,0.5559 ± 0.1208,0.5787 ± 0.0843,0.4610 ± 0.2019,0.3941 ± 0.2175,0.7634 ± 0.1302,0.6311 ± 0.1313,3.8629 ± 0.6526,60
ACC_1_TimeDomain_Stats_XYZ,GB,7029.6000 ± 309.5913,1757.4000 ± 309.5913,0.5769 ± 0.1337,0.6009 ± 0.1012,0.4930 ± 0.2102,0.4286 ± 0.2391,0.7731 ± 0.1200,0.6495 ± 0.1347,38.5565 ± 8.3445,60
ACC_1_TimeDomain_Stats_XYZ,LR,7029.6000 ± 309.5913,1757.4000 ± 309.5913,0.4632 ± 0.0641,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,0.1593 ± 0.0041,60
ACC_1_TimeDomain_Stats_XYZ,DT,7029.6000 ± 309.5913,1757.4000 ± 309.5913,0.5098 ± 0.0737,0.5214 ± 0.0564,0.4475 ± 0.0983,0.3834 ± 0.1301,0.6595 ± 0.0662,0.5227 ± 0.0583,0.2969 ± 0.0168,60
ACC_2_PSD_Frequency_XYZ,RF,7029.6000 ± 309.5913,1757.4000 ± 309.5913,0.5936 ± 0.0733,0.6099 ± 0.0542,0.5448 ± 0.0922,0.4678 ± 0.1327,0.7520 ± 0.0795,0.6204 ± 0.0820,12.8332 ± 9.3430,60
ACC_2_PSD_Frequency_XYZ,XGB,7029.6000 ± 309.5913,1757.4000 ± 309.5913,0.5801 ± 0.0804,0.5947 ± 0.0600,0.5301 ± 0.0941,0.4536 ± 0.1255,0.7359 ± 0.0480,0.6151 ± 0.0905,9.6086 ± 8.7985,60
ACC_2_PSD_Frequency_XYZ,GB,7029.6000 ± 309.5913,1757.4000 ± 309.5913,0.5833 ± 0.0899,0.5995 ± 0.0681,0.5344 ± 0.1094,0.4627 ± 0.1512,0.7362 ± 0.0582,0.6036 ± 0.1074,44.5647 ± 7.2778,60
ACC_2_PSD_Frequency_XYZ,LR,7029.6000 ± 309.5913,1757.4000 ± 309.5913,0.4632 ± 0.0641,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,0.2668 ± 0.0458,60
ACC_2_PSD_Frequency_XYZ,DT,7029.6000 ± 309.5913,1757.4000 ± 309.5913,0.5413 ± 0.0679,0.5510 ± 0.0563,0.5133 ± 0.0667,0.4582 ± 0.0977,0.6439 ± 0.0742,0.5535 ± 0.0608,0.3298 ± 0.0233,60
ACC_3_Magnitude_TimeDomain,RF,7029.6000 ± 309.5913,1757.4000 ± 309.5913,0.5752 ± 0.0255,0.5868 ± 0.0205,0.5063 ± 0.0485,0.4112 ± 0.0622,0.7624 ± 0.0734,0.6398 ± 0.0489,3.8751 ± 0.9283,60
ACC_3_Magnitude_TimeDomain,XGB,7029.6000 ± 309.5913,1757.4000 ± 309.5913,0.5982 ± 0.0441,0.6087 ± 0.0447,0.5592 ± 0.0379,0.4772 ± 0.0409,0.7402 ± 0.0913,0.6563 ± 0.0515,1.3612 ± 0.2014,60
ACC_3_Magnitude_TimeDomain,GB,7029.6000 ± 309.5913,1757.4000 ± 309.5913,0.5996 ± 0.0293,0.6085 ± 0.0340,0.5586 ± 0.0361,0.4753 ± 0.0337,0.7417 ± 0.0849,0.6403 ± 0.0305,14.4261 ± 2.6052,60
ACC_3_Magnitude_TimeDomain,LR,7029.6000 ± 309.5913,1757.4000 ± 309.5913,0.4632 ± 0.0641,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,0.0402 ± 0.0021,60
ACC_3_Magnitude_TimeDomain,DT,7029.6000 ± 309.5913,1757.4000 ± 309.5913,0.5454 ± 0.0780,0.5524 ± 0.0794,0.5046 ± 0.1216,0.4434 ± 0.1189,0.6615 ± 0.0511,0.5524 ± 0.0794,0.0872 ± 0.0024,60
ACC_4_Magnitude_PSD,RF,7029.6000 ± 309.5913,1757.4000 ± 309.5913,0.5483 ± 0.0458,0.5631 ± 0.0409,0.5331 ± 0.0339,0.4867 ± 0.0792,0.6395 ± 0.1333,0.5994 ± 0.0435,5.7580 ± 1.0476,60
ACC_4_Magnitude_PSD,XGB,7029.6000 ± 309.5913,1757.4000 ± 309.5913,0.5357 ± 0.0443,0.5515 ± 0.0314,0.5027 ± 0.0593,0.4494 ± 0.1115,0.6535 ± 0.1093,0.5849 ± 0.0362,2.0172 ± 0.3210,60
ACC_4_Magnitude_PSD,GB,7029.6000 ± 309.5913,1757.4000 ± 309.5913,0.5247 ± 0.0727,0.5437 ± 0.0520,0.4776 ± 0.1051,0.4253 ± 0.1535,0.6621 ± 0.0865,0.5775 ± 0.0662,15.6752 ± 1.2229,60
ACC_4_Magnitude_PSD,LR,7029.6000 ± 309.5913,1757.4000 ± 309.5913,0.4632 ± 0.0641,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,0.0622 ± 0.0070,60
ACC_4_Magnitude_PSD,DT,7029.6000 ± 309.5913,1757.4000 ± 309.5913,0.5366 ± 0.0314,0.5430 ± 0.0281,0.5363 ± 0.0451,0.5047 ± 0.0622,0.5812 ± 0.0551,0.5426 ± 0.0570,0.1030 ± 0.0067,60
ACC_5_Integrative_Magnitude,RF,7029.6000 ± 309.5913,1757.4000 ± 309.5913,0.5977 ± 0.0478,0.6138 ± 0.0251,0.5402 ± 0.0711,0.4523 ± 0.1051,0.7752 ± 0.1082,0.6589 ± 0.0295,5.9192 ± 1.8673,60
ACC_5_Integrative_Magnitude,XGB,7029.6000 ± 309.5913,1757.4000 ± 309.5913,0.6124 ± 0.0313,0.6220 ± 0.0323,0.5757 ± 0.0263,0.4929 ± 0.0346,0.7511 ± 0.0868,0.6585 ± 0.0481,2.8538 ± 0.3178,60
ACC_5_Integrative_Magnitude,GB,7029.6000 ± 309.5913,1757.4000 ± 309.5913,0.5975 ± 0.0436,0.6120 ± 0.0255,0.5544 ± 0.0536,0.4746 ± 0.0842,0.7494 ± 0.0873,0.6605 ± 0.0371,26.6977 ± 1.3000,60
ACC_5_Integrative_Magnitude,LR,7029.6000 ± 309.5913,1757.4000 ± 309.5913,0.4632 ± 0.0641,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,0.1146 ± 0.0182,60
ACC_5_Integrative_Magnitude,DT,7029.6000 ± 309.5913,1757.4000 ± 309.5913,0.5896 ± 0.0515,0.5961 ± 0.0550,0.5717 ± 0.0508,0.5138 ± 0.0569,0.6783 ± 0.0994,0.5994 ± 0.0538,0.1618 ± 0.0100,60
