Feature Set,Model,WindowSize,Train Samples,Test Samples,Fold Accuracy,Fold Balanced Acc,Fold F1 Score,Fold Sensitivity,Fold Specificity,Fold ROC-AUC,Train Time (s)
HR_3_Temporal_Dynamics,DT,60Seconds,8476.0000 ± 402.9162,2119.0000 ± 402.9162,0.4903 ± 0.0265,0.4921 ± 0.0251,0.4760 ± 0.0162,0.4555 ± 0.0300,0.5287 ± 0.0359,0.4989 ± 0.0290,0.1025 ± 0.0061
HR_4_Contextual_Baseline,GB,60Seconds,8476.0000 ± 402.9162,2119.0000 ± 402.9162,0.4931 ± 0.0273,0.4956 ± 0.0245,0.4706 ± 0.0300,0.4440 ± 0.0410,0.5473 ± 0.0316,0.4936 ± 0.0365,12.0533 ± 0.4589
HR_4_Contextual_Baseline,RF,60Seconds,8476.0000 ± 402.9162,2119.0000 ± 402.9162,0.4914 ± 0.0254,0.4934 ± 0.0240,0.4583 ± 0.0361,0.4239 ± 0.0416,0.5628 ± 0.0278,0.4948 ± 0.0381,3.1198 ± 0.6998
HR_4_Contextual_Baseline,XGB,60Seconds,8476.0000 ± 402.9162,2119.0000 ± 402.9162,0.4948 ± 0.0285,0.4961 ± 0.0264,0.4688 ± 0.0324,0.4390 ± 0.0389,0.5532 ± 0.0325,0.4913 ± 0.0320,0.9055 ± 0.0145
HR_4_Contextual_Baseline,LR,60Seconds,8476.0000 ± 402.9162,2119.0000 ± 402.9162,0.5154 ± 0.0265,0.5044 ± 0.0064,0.2138 ± 0.2927,0.2030 ± 0.2782,0.8058 ± 0.2660,0.5013 ± 0.0018,0.0390 ± 0.0001
HR_4_Contextual_Baseline,DT,60Seconds,8476.0000 ± 402.9162,2119.0000 ± 402.9162,0.4956 ± 0.0177,0.4960 ± 0.0153,0.4656 ± 0.0402,0.4337 ± 0.0481,0.5583 ± 0.0321,0.4958 ± 0.0153,0.0762 ± 0.0043
HR_5_HR_Zones,GB,60Seconds,8476.0000 ± 402.9162,2119.0000 ± 402.9162,0.5759 ± 0.0213,0.5816 ± 0.0231,0.5168 ± 0.0512,0.4511 ± 0.0779,0.7120 ± 0.0624,0.6034 ± 0.0284,5.4615 ± 0.5352
HR_5_HR_Zones,RF,60Seconds,8476.0000 ± 402.9162,2119.0000 ± 402.9162,0.5756 ± 0.0646,0.5790 ± 0.0565,0.5085 ± 0.1088,0.4436 ± 0.1247,0.7144 ± 0.0787,0.5962 ± 0.0773,1.2648 ± 0.0957
HR_5_HR_Zones,XGB,60Seconds,8476.0000 ± 402.9162,2119.0000 ± 402.9162,0.5433 ± 0.1398,0.5488 ± 0.1393,0.4606 ± 0.1778,0.3932 ± 0.1819,0.7045 ± 0.1334,0.5723 ± 0.1668,0.5722 ± 0.0770
HR_5_HR_Zones,LR,60Seconds,8476.0000 ± 402.9162,2119.0000 ± 402.9162,0.4577 ± 0.0151,0.5000 ± 0.0000,0.2521 ± 0.3452,0.4000 ± 0.5477,0.6000 ± 0.5477,0.4999 ± 0.0002,0.0567 ± 0.0080
