Feature Set,Model,WindowSize,Train Samples,Test Samples,Fold Accuracy,Fold Balanced Acc,Fold F1 Score,Fold Sensitivity,Fold Specificity,Fold ROC-AUC,Train Time (s)
HR_5_HR_Zones,RF,10Seconds,60603.2000 ± 820.0388,15150.8000 ± 820.0388,0.4641 ± 0.0803,0.4891 ± 0.0785,0.3331 ± 0.0798,0.2652 ± 0.0912,0.7129 ± 0.1660,0.5950 ± 0.2125,6.0939 ± 1.6552
HR_5_HR_Zones,XGB,10Seconds,60603.2000 ± 820.0388,15150.8000 ± 820.0388,0.5662 ± 0.1197,0.5801 ± 0.1319,0.5070 ± 0.1755,0.4440 ± 0.1662,0.7163 ± 0.1495,0.5802 ± 0.2254,2.4427 ± 0.0913
HR_5_HR_Zones,GB,10Seconds,60603.2000 ± 820.0388,15150.8000 ± 820.0388,0.5123 ± 0.1015,0.5317 ± 0.1182,0.4399 ± 0.1440,0.3775 ± 0.1203,0.6859 ± 0.1885,0.5246 ± 0.1412,17.1227 ± 3.6328
HR_5_HR_Zones,LR,10Seconds,60603.2000 ± 820.0388,15150.8000 ± 820.0388,0.4781 ± 0.0912,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,0.3900 ± 0.0503
HR_5_HR_Zones,DT,10Seconds,60603.2000 ± 820.0388,15150.8000 ± 820.0388,0.5151 ± 0.1455,0.5270 ± 0.1375,0.3894 ± 0.2352,0.3379 ± 0.2455,0.7162 ± 0.1254,0.5270 ± 0.1375,0.2876 ± 0.0046
6_All_Combined,RF,5Seconds,124931.2000 ± 5519.4431,31232.8000 ± 5519.4431,0.4869 ± 0.1285,0.4993 ± 0.1303,0.2783 ± 0.1609,0.1952 ± 0.1150,0.8034 ± 0.2035,0.5555 ± 0.2097,62.0491 ± 19.6661
6_All_Combined,XGB,5Seconds,124931.2000 ± 5519.4431,31232.8000 ± 5519.4431,0.5833 ± 0.1204,0.5870 ± 0.1095,0.5020 ± 0.1777,0.4456 ± 0.2462,0.7284 ± 0.1762,0.6172 ± 0.1489,9.6770 ± 0.8952
6_All_Combined,GB,5Seconds,124931.2000 ± 5519.4431,31232.8000 ± 5519.4431,0.5326 ± 0.1482,0.5335 ± 0.1531,0.3882 ± 0.2690,0.3331 ± 0.2375,0.7339 ± 0.1970,0.6237 ± 0.2315,377.7790 ± 32.3096
6_All_Combined,LR,5Seconds,124931.2000 ± 5519.4431,31232.8000 ± 5519.4431,0.4870 ± 0.0439,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,16.6583 ± 6.6410
6_All_Combined,DT,5Seconds,124931.2000 ± 5519.4431,31232.8000 ± 5519.4431,0.5536 ± 0.0858,0.5566 ± 0.0886,0.4502 ± 0.1296,0.3670 ± 0.1289,0.7462 ± 0.1253,0.5562 ± 0.0888,6.3096 ± 8.7864
HR_1_TimeDomain_Stats,RF,5Seconds,124931.2000 ± 5519.4431,31232.8000 ± 5519.4431,0.5321 ± 0.0640,0.5449 ± 0.0671,0.4196 ± 0.1056,0.3464 ± 0.1545,0.7434 ± 0.1267,0.5798 ± 0.0786,35.9638 ± 2.8707
HR_1_TimeDomain_Stats,XGB,5Seconds,124931.2000 ± 5519.4431,31232.8000 ± 5519.4431,0.5654 ± 0.0723,0.5710 ± 0.0751,0.5154 ± 0.0964,0.4583 ± 0.1179,0.6838 ± 0.0875,0.6066 ± 0.1159,6.5781 ± 1.1602
HR_1_TimeDomain_Stats,GB,5Seconds,124931.2000 ± 5519.4431,31232.8000 ± 5519.4431,0.5476 ± 0.0658,0.5550 ± 0.0650,0.4831 ± 0.0714,0.4175 ± 0.0977,0.6925 ± 0.1039,0.5802 ± 0.0936,142.7117 ± 5.3096
HR_1_TimeDomain_Stats,LR,5Seconds,124931.2000 ± 5519.4431,31232.8000 ± 5519.4431,0.4870 ± 0.0439,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,5.4805 ± 2.5573
HR_1_TimeDomain_Stats,DT,5Seconds,124931.2000 ± 5519.4431,31232.8000 ± 5519.4431,0.5272 ± 0.0543,0.5346 ± 0.0553,0.4607 ± 0.0894,0.4036 ± 0.1158,0.6656 ± 0.0730,0.5274 ± 0.0616,0.9945 ± 0.0701
HR_2_HRV_Proxies,RF,5Seconds,124931.2000 ± 5519.4431,31232.8000 ± 5519.4431,0.5241 ± 0.0947,0.5284 ± 0.1009,0.4102 ± 0.1289,0.3298 ± 0.1139,0.7270 ± 0.1668,0.5480 ± 0.1382,13.5758 ± 2.8194
HR_2_HRV_Proxies,XGB,5Seconds,124931.2000 ± 5519.4431,31232.8000 ± 5519.4431,0.5569 ± 0.1233,0.5570 ± 0.1086,0.4388 ± 0.2500,0.4059 ± 0.3127,0.7082 ± 0.1684,0.5831 ± 0.0964,3.1605 ± 0.4707
HR_2_HRV_Proxies,GB,5Seconds,124931.2000 ± 5519.4431,31232.8000 ± 5519.4431,0.5013 ± 0.1331,0.5031 ± 0.1367,0.3385 ± 0.2289,0.2734 ± 0.1847,0.7329 ± 0.1950,0.5685 ± 0.1216,32.2052 ± 2.2637
HR_2_HRV_Proxies,LR,5Seconds,124931.2000 ± 5519.4431,31232.8000 ± 5519.4431,0.5137 ± 0.0492,0.5058 ± 0.0129,0.1412 ± 0.3158,0.1829 ± 0.4090,0.8286 ± 0.3833,0.5045 ± 0.0100,1.0810 ± 0.4434
HR_2_HRV_Proxies,DT,5Seconds,124931.2000 ± 5519.4431,31232.8000 ± 5519.4431,0.5078 ± 0.1312,0.5090 ± 0.1362,0.3501 ± 0.2363,0.2857 ± 0.1897,0.7324 ± 0.1925,0.5245 ± 0.1658,0.3645 ± 0.0170
HR_3_Temporal_Dynamics,RF,5Seconds,124931.2000 ± 5519.4431,31232.8000 ± 5519.4431,0.5035 ± 0.0708,0.5114 ± 0.0525,0.3286 ± 0.0862,0.2398 ± 0.0716,0.7829 ± 0.0394,0.5341 ± 0.0819,60.5340 ± 12.9367
HR_3_Temporal_Dynamics,XGB,5Seconds,124931.2000 ± 5519.4431,31232.8000 ± 5519.4431,0.5024 ± 0.1216,0.5081 ± 0.1070,0.4047 ± 0.1371,0.3363 ± 0.1340,0.6800 ± 0.0908,0.5143 ± 0.1629,6.3364 ± 0.5336
HR_3_Temporal_Dynamics,GB,5Seconds,124931.2000 ± 5519.4431,31232.8000 ± 5519.4431,0.5175 ± 0.0868,0.5237 ± 0.0735,0.4255 ± 0.0958,0.3534 ± 0.1039,0.6941 ± 0.0596,0.5260 ± 0.0981,164.3705 ± 24.2314
HR_3_Temporal_Dynamics,LR,5Seconds,124931.2000 ± 5519.4431,31232.8000 ± 5519.4431,0.4870 ± 0.0439,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,0.6134 ± 0.0545
HR_3_Temporal_Dynamics,DT,5Seconds,124931.2000 ± 5519.4431,31232.8000 ± 5519.4431,0.5286 ± 0.0865,0.5334 ± 0.0734,0.4522 ± 0.0813,0.3807 ± 0.0824,0.6861 ± 0.0740,0.5324 ± 0.0738,0.9328 ± 0.0277
HR_4_Contextual_Baseline,RF,5Seconds,124931.2000 ± 5519.4431,31232.8000 ± 5519.4431,0.5275 ± 0.0292,0.5333 ± 0.0205,0.3838 ± 0.0514,0.2891 ± 0.0471,0.7775 ± 0.0246,0.5537 ± 0.0406,28.6390 ± 2.8522
HR_4_Contextual_Baseline,XGB,5Seconds,124931.2000 ± 5519.4431,31232.8000 ± 5519.4431,0.5340 ± 0.0247,0.5371 ± 0.0295,0.4628 ± 0.0542,0.3934 ± 0.0446,0.6808 ± 0.0183,0.5449 ± 0.0325,4.5163 ± 0.1720
HR_4_Contextual_Baseline,GB,5Seconds,124931.2000 ± 5519.4431,31232.8000 ± 5519.4431,0.5107 ± 0.0504,0.5125 ± 0.0520,0.4220 ± 0.0992,0.3544 ± 0.0948,0.6707 ± 0.0227,0.5160 ± 0.0573,106.3103 ± 4.6699
HR_4_Contextual_Baseline,LR,5Seconds,124931.2000 ± 5519.4431,31232.8000 ± 5519.4431,0.5122 ± 0.0353,0.5033 ± 0.0159,0.3564 ± 0.3342,0.4280 ± 0.4307,0.5785 ± 0.4260,0.5009 ± 0.0029,0.4698 ± 0.0431
HR_4_Contextual_Baseline,DT,5Seconds,124931.2000 ± 5519.4431,31232.8000 ± 5519.4431,0.5085 ± 0.0355,0.5101 ± 0.0358,0.4302 ± 0.0726,0.3659 ± 0.0713,0.6544 ± 0.0369,0.5119 ± 0.0346,0.6801 ± 0.0515
HR_5_HR_Zones,RF,5Seconds,124931.2000 ± 5519.4431,31232.8000 ± 5519.4431,0.4981 ± 0.1255,0.5006 ± 0.1273,0.3392 ± 0.2391,0.2857 ± 0.2282,0.7156 ± 0.1349,0.5529 ± 0.1995,8.8732 ± 1.2616
HR_5_HR_Zones,XGB,5Seconds,124931.2000 ± 5519.4431,31232.8000 ± 5519.4431,0.5227 ± 0.1870,0.5282 ± 0.1838,0.4530 ± 0.2229,0.3917 ± 0.1971,0.6648 ± 0.1816,0.4702 ± 0.1953,3.7544 ± 0.5732
HR_5_HR_Zones,GB,5Seconds,124931.2000 ± 5519.4431,31232.8000 ± 5519.4431,0.5305 ± 0.1120,0.5351 ± 0.1097,0.4083 ± 0.1879,0.3381 ± 0.1896,0.7320 ± 0.0871,0.5076 ± 0.1917,27.1416 ± 4.6332
HR_5_HR_Zones,LR,5Seconds,124931.2000 ± 5519.4431,31232.8000 ± 5519.4431,0.4870 ± 0.0439,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,0.9328 ± 0.0624
HR_5_HR_Zones,DT,5Seconds,124931.2000 ± 5519.4431,31232.8000 ± 5519.4431,0.5095 ± 0.1191,0.5121 ± 0.1174,0.4184 ± 0.1595,0.3551 ± 0.1605,0.6691 ± 0.0957,0.5051 ± 0.1232,0.5105 ± 0.0184
6_All_Combined,RF,2Seconds,36002.4000 ± 1301.6084,9000.6000 ± 1301.6084,0.7393 ± 0.2247,0.6506 ± 0.2107,0.3896 ± 0.4302,0.3367 ± 0.3944,0.9645 ± 0.0427,0.6341 ± 0.3724,4.7720 ± 0.5694
6_All_Combined,XGB,2Seconds,36002.4000 ± 1301.6084,9000.6000 ± 1301.6084,0.6960 ± 0.1957,0.6288 ± 0.1768,0.3488 ± 0.3673,0.3566 ± 0.3856,0.9011 ± 0.1176,0.5887 ± 0.3932,1.5623 ± 0.1914
6_All_Combined,GB,2Seconds,36002.4000 ± 1301.6084,9000.6000 ± 1301.6084,0.4637 ± 0.3012,0.5101 ± 0.3115,0.2431 ± 0.3457,0.3841 ± 0.5115,0.6360 ± 0.4114,0.6090 ± 0.4385,36.4723 ± 7.0289
6_All_Combined,LR,2Seconds,36002.4000 ± 1301.6084,9000.6000 ± 1301.6084,0.6740 ± 0.2201,0.5000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,1.0000 ± 0.0000,0.5000 ± 0.0000,9.6991 ± 2.2234
6_All_Combined,DT,2Seconds,36002.4000 ± 1301.6084,9000.6000 ± 1301.6084,0.6229 ± 0.2142,0.5334 ± 0.1672,0.1740 ± 0.3152,0.1752 ± 0.2949,0.8917 ± 0.1173,0.5259 ± 0.1738,0.4502 ± 0.0219
HR_1_TimeDomain_Stats,RF,2Seconds,36002.4000 ± 1301.6084,9000.6000 ± 1301.6084,0.5964 ± 0.2386,0.5346 ± 0.2105,0.3505 ± 0.3187,0.3722 ± 0.3538,0.6970 ± 0.1770,0.4975 ± 0.2890,3.4536 ± 0.7258
HR_1_TimeDomain_Stats,XGB,2Seconds,36002.4000 ± 1301.6084,9000.6000 ± 1301.6084,0.7470 ± 0.1535,0.6646 ± 0.1179,0.5004 ± 0.1667,0.5011 ± 0.2573,0.8281 ± 0.1553,0.6964 ± 0.1613,1.0357 ± 0.1776
HR_1_TimeDomain_Stats,GB,2Seconds,36002.4000 ± 1301.6084,9000.6000 ± 1301.6084,0.5839 ± 0.2148,0.5631 ± 0.1711,0.3317 ± 0.2850,0.4693 ± 0.3802,0.6569 ± 0.1989,0.5764 ± 0.1456,13.8386 ± 3.2944
HR_1_TimeDomain_Stats,LR,2Seconds,36002.4000 ± 1301.6084,9000.6000 ± 1301.6084,0.7307 ± 0.1509,0.5493 ± 0.0834,0.2427 ± 0.3328,0.2276 ± 0.3155,0.8710 ± 0.1833,0.5313 ± 0.0532,1.6647 ± 0.4796
HR_1_TimeDomain_Stats,DT,2Seconds,36002.4000 ± 1301.6084,9000.6000 ± 1301.6084,0.5525 ± 0.1744,0.4527 ± 0.1520,0.2514 ± 0.2702,0.2460 ± 0.2216,0.6595 ± 0.1401,0.4559 ± 0.1601,0.2191 ± 0.0049
HR_2_HRV_Proxies,RF,2Seconds,36002.4000 ± 1301.6084,9000.6000 ± 1301.6084,0.4498 ± 0.3341,0.4403 ± 0.3650,0.2751 ± 0.3689,0.2920 ± 0.4220,0.5885 ± 0.3860,0.4740 ± 0.3377,2.0045 ± 0.4228
HR_2_HRV_Proxies,XGB,2Seconds,36002.4000 ± 1301.6084,9000.6000 ± 1301.6084,0.4064 ± 0.3499,0.4082 ± 0.3602,0.1790 ± 0.3921,0.2060 ± 0.4439,0.6104 ± 0.4060,0.4843 ± 0.3706,0.6503 ± 0.0830
HR_2_HRV_Proxies,GB,2Seconds,36002.4000 ± 1301.6084,9000.6000 ± 1301.6084,0.3317 ± 0.2218,0.3574 ± 0.2698,0.0947 ± 0.2027,0.1941 ± 0.4207,0.5207 ± 0.3634,0.3168 ± 0.1934,4.1051 ± 0.7349
HR_2_HRV_Proxies,LR,2Seconds,36002.4000 ± 1301.6084,9000.6000 ± 1301.6084,0.6943 ± 0.2164,0.5385 ± 0.0861,0.1263 ± 0.2825,0.1277 ± 0.2855,0.9493 ± 0.1133,0.5246 ± 0.0550,0.5869 ± 0.2891
HR_2_HRV_Proxies,DT,2Seconds,36002.4000 ± 1301.6084,9000.6000 ± 1301.6084,0.4309 ± 0.1286,0.4148 ± 0.2003,0.1084 ± 0.1976,0.2072 ± 0.4141,0.6224 ± 0.2258,0.4249 ± 0.2080,0.1716 ± 0.0011
HR_3_Temporal_Dynamics,RF,2Seconds,36002.4000 ± 1301.6084,9000.6000 ± 1301.6084,0.5745 ± 0.1752,0.5646 ± 0.1149,0.2638 ± 0.2001,0.3450 ± 0.2849,0.7843 ± 0.1674,0.5653 ± 0.1959,7.2080 ± 1.7343
HR_3_Temporal_Dynamics,XGB,2Seconds,36002.4000 ± 1301.6084,9000.6000 ± 1301.6084,0.6478 ± 0.1944,0.6033 ± 0.1354,0.4409 ± 0.1023,0.4589 ± 0.2754,0.7477 ± 0.1407,0.5988 ± 0.1775,1.1870 ± 0.2018
HR_3_Temporal_Dynamics,GB,2Seconds,36002.4000 ± 1301.6084,9000.6000 ± 1301.6084,0.5862 ± 0.2014,0.5858 ± 0.1798,0.3221 ± 0.2921,0.3964 ± 0.3283,0.7751 ± 0.1827,0.6269 ± 0.1730,21.0807 ± 2.4629
HR_3_Temporal_Dynamics,LR,2Seconds,36002.4000 ± 1301.6084,9000.6000 ± 1301.6084,0.6190 ± 0.2435,0.4978 ± 0.0113,0.1635 ± 0.2240,0.1922 ± 0.2668,0.8034 ± 0.2701,0.5019 ± 0.0140,0.2446 ± 0.0612
HR_3_Temporal_Dynamics,DT,2Seconds,36002.4000 ± 1301.6084,9000.6000 ± 1301.6084,0.5735 ± 0.1401,0.5906 ± 0.1686,0.3593 ± 0.2279,0.4699 ± 0.3274,0.7114 ± 0.1807,0.5903 ± 0.1856,0.2194 ± 0.0067
HR_4_Contextual_Baseline,RF,2Seconds,36002.4000 ± 1301.6084,9000.6000 ± 1301.6084,0.6309 ± 0.1880,0.5369 ± 0.0763,0.2545 ± 0.1098,0.2261 ± 0.1355,0.8477 ± 0.0974,0.5902 ± 0.1474,3.7933 ± 1.0781
HR_4_Contextual_Baseline,XGB,2Seconds,36002.4000 ± 1301.6084,9000.6000 ± 1301.6084,0.5839 ± 0.2073,0.5337 ± 0.1589,0.2931 ± 0.1637,0.3329 ± 0.2393,0.7345 ± 0.1108,0.5870 ± 0.2042,1.0991 ± 0.1722
HR_4_Contextual_Baseline,GB,2Seconds,36002.4000 ± 1301.6084,9000.6000 ± 1301.6084,0.6403 ± 0.1409,0.5529 ± 0.0827,0.3364 ± 0.1615,0.3516 ± 0.1662,0.7542 ± 0.1049,0.5328 ± 0.1292,15.3459 ± 4.9429
HR_4_Contextual_Baseline,LR,2Seconds,36002.4000 ± 1301.6084,9000.6000 ± 1301.6084,0.6508 ± 0.2352,0.4950 ± 0.0112,0.0791 ± 0.1768,0.0845 ± 0.1889,0.9055 ± 0.2113,0.4958 ± 0.0094,0.1000 ± 0.0012
HR_4_Contextual_Baseline,DT,2Seconds,36002.4000 ± 1301.6084,9000.6000 ± 1301.6084,0.6219 ± 0.1631,0.5469 ± 0.0973,0.3276 ± 0.1061,0.3391 ± 0.1344,0.7547 ± 0.0941,0.5459 ± 0.0939,0.1010 ± 0.0056
HR_5_HR_Zones,RF,2Seconds,36002.4000 ± 1301.6084,9000.6000 ± 1301.6084,0.7413 ± 0.1365,0.6663 ± 0.1976,0.4882 ± 0.4274,0.5886 ± 0.4696,0.7441 ± 0.2239,0.6471 ± 0.3820,1.5223 ± 0.1587
HR_5_HR_Zones,XGB,2Seconds,36002.4000 ± 1301.6084,9000.6000 ± 1301.6084,0.7348 ± 0.1389,0.6492 ± 0.1866,0.4529 ± 0.3963,0.5638 ± 0.4574,0.7347 ± 0.1289,0.5717 ± 0.2220,0.7644 ± 0.0847
HR_5_HR_Zones,GB,2Seconds,36002.4000 ± 1301.6084,9000.6000 ± 1301.6084,0.6137 ± 0.1612,0.5146 ± 0.1922,0.3222 ± 0.3976,0.4275 ± 0.4847,0.6016 ± 0.1195,0.4579 ± 0.2593,5.3276 ± 1.2288
HR_5_HR_Zones,LR,2Seconds,36002.4000 ± 1301.6084,9000.6000 ± 1301.6084,0.6991 ± 0.1660,0.5429 ± 0.0611,0.2083 ± 0.2861,0.2031 ± 0.2859,0.8827 ± 0.1894,0.4809 ± 0.0697,0.2591 ± 0.0291
HR_5_HR_Zones,DT,2Seconds,36002.4000 ± 1301.6084,9000.6000 ± 1301.6084,0.5162 ± 0.1195,0.4199 ± 0.1109,0.2086 ± 0.2383,0.2171 ± 0.1934,0.6228 ± 0.0964,0.5239 ± 0.1286,0.1973 ± 0.0068
