,HR_BPM
0 days 00:03:58.616000,2641.612200441551
0 days 00:03:59.616000,180.50758765044637
0 days 00:04:00.616000,192.30769230769047
0 days 00:04:01.616000,2645.1734539939303
0 days 00:04:02.616000,1997.4532224509326
0 days 00:04:03.616000,190.6695156695118
0 days 00:04:04.616000,248.0769230769206
0 days 00:04:05.616000,3109.148606812804
0 days 00:04:06.616000,194.23076923076962
0 days 00:04:07.616000,1101.4084507040147
0 days 00:04:08.616000,3782.327586202314
0 days 00:04:09.616000,106.06060606060633
0 days 00:04:10.616000,2065.2373941824785
0 days 00:04:11.616000,210.48387096774934
0 days 00:04:12.616000,915.1107544540986
0 days 00:04:13.616000,2576.7045454603717
0 days 00:04:14.616000,245.833333333336
0 days 00:04:15.616000,211.47540983605285
0 days 00:04:16.616000,3107.1084724075017
0 days 00:04:17.616000,3813.5593220159953
0 days 00:04:18.616000,1998.85670732144
0 days 00:04:19.616000,218.74999999999912
0 days 00:04:20.616000,3100.167624517405
0 days 00:04:21.616000,185.31237281237176
0 days 00:04:22.616000,2062.1192665940152
0 days 00:04:23.616000,3807.5206043777016
0 days 00:04:24.616000,3798.7012987100397
0 days 00:04:25.616000,3796.600030869143
0 days 00:04:26.616000,3794.1176470675628
0 days 00:04:27.616000,3796.5856481435667
0 days 00:04:28.616000,248.02631578947376
0 days 00:04:29.616000,2020.6980519391168
0 days 00:04:30.616000,198.07692307689152
0 days 00:04:31.616000,217.81343656344575
0 days 00:04:32.616000,2580.1282051162702
0 days 00:04:33.616000,655.7550904971562
0 days 00:04:34.616000,2018.5504354180055
0 days 00:04:35.616000,244.2307692307629
0 days 00:04:36.616000,3810.0484111042433
0 days 00:04:37.616000,179.93762993762127
0 days 00:04:38.616000,253.18627450980384
0 days 00:04:39.616000,2008.7619617268622
0 days 00:04:40.616000,197.69813519813184
0 days 00:04:41.616000,252.01930964848862
0 days 00:04:42.616000,181.52280069114985
0 days 00:04:43.616000,1395.4545454530237
0 days 00:04:44.616000,207.84412955467064
0 days 00:04:45.616000,2373.475309848315
0 days 00:04:46.616000,3800.675675684417
0 days 00:04:47.616000,1669.7756410291295
0 days 00:04:48.616000,2025.827205873391
0 days 00:04:49.616000,200.00000000001137
0 days 00:04:50.616000,2022.877358481616
0 days 00:04:51.616000,352.22209193245493
0 days 00:04:52.616000,1766.468280317566
0 days 00:04:53.616000,2016.309931511218
0 days 00:04:54.616000,663.0681818184245
0 days 00:04:55.616000,186.9700582935828
0 days 00:04:56.616000,1364.3767996699776
0 days 00:04:57.616000,215.41950113378238
0 days 00:04:58.616000,177.92207792208464
0 days 00:04:59.616000,2166.593822836645
0 days 00:05:00.616000,744.5402298854134
0 days 00:05:01.616000,1384.965473951431
0 days 00:05:02.616000,189.36705727015746
0 days 00:05:03.616000,1141.0098522166354
0 days 00:05:04.616000,372.93695303841736
0 days 00:05:05.616000,475.961538461516
0 days 00:05:06.616000,226.62522662523554
0 days 00:05:07.616000,507.2916666665852
0 days 00:05:08.616000,858.437500000418
0 days 00:05:09.616000,1980.5235137568347
0 days 00:05:10.616000,208.77518557791936
0 days 00:05:11.616000,1094.8004201669228
0 days 00:05:12.616000,2609.89010989593
0 days 00:05:13.616000,520.8333333334357
0 days 00:05:14.616000,551.2820512823791
0 days 00:05:15.616000,1822.0009157532622
0 days 00:05:16.616000,1816.6797796938747
0 days 00:05:17.616000,712.1212121215572
0 days 00:05:18.616000,1832.5000000035186
0 days 00:05:19.616000,593.1372549024121
0 days 00:05:20.616000,527.210884353724
0 days 00:05:21.616000,388.2080610023498
0 days 00:05:22.616000,107.32323232323739
0 days 00:05:23.616000,348.6745812326864
0 days 00:05:24.616000,979.9145299136062
0 days 00:05:25.616000,370.65365190365776
0 days 00:05:26.616000,1952.994827526634
0 days 00:05:27.616000,1182.4750108649787
0 days 00:05:28.616000,1799.1918778428205
0 days 00:05:29.616000,236.5728900255632
0 days 00:05:30.616000,1057.821327682469
0 days 00:05:31.616000,1253.3143939396336
0 days 00:05:32.616000,368.2563338301709
0 days 00:05:33.616000,414.77272727268763
0 days 00:05:34.616000,265.88838025158265
0 days 00:05:35.616000,2653.7698412756617
0 days 00:05:36.616000,359.43223443222377
0 days 00:05:37.616000,896.9797596457624
0 days 00:05:38.616000,2112.146781791996
0 days 00:05:39.616000,87.2093023255829
0 days 00:05:40.616000,379.17439703145396
0 days 00:05:41.616000,2000.9922300338565
0 days 00:05:42.616000,442.43671229891027
0 days 00:05:43.616000,457.96035805618106
0 days 00:05:44.616000,1611.5134865156465
0 days 00:05:45.616000,600.6042568542683
0 days 00:05:46.616000,315.3749426802247
0 days 00:05:47.616000,500.68681318680825
0 days 00:05:48.616000,99.9999999999962
0 days 00:05:49.616000,1002.7135854341171
0 days 00:05:50.616000,885.9521606975966
0 days 00:05:51.616000,1169.5811170234751
0 days 00:05:52.616000,1523.7535293142873
0 days 00:05:53.616000,1813.2567543175667
0 days 00:05:54.616000,2536.491797673538
0 days 00:05:55.616000,1078.4716060348208
0 days 00:05:56.616000,225.54347826084424
0 days 00:05:57.616000,597.5748046499755
0 days 00:05:58.616000,1379.6082949293534
0 days 00:05:59.616000,363.74866452983326
0 days 00:06:00.616000,960.7611553362804
0 days 00:06:01.616000,894.9059561128219
0 days 00:06:02.616000,237.04386645964973
0 days 00:06:03.616000,620.5357142861711
0 days 00:06:04.616000,429.4199671393852
0 days 00:06:05.616000,392.2968478889506
0 days 00:06:06.616000,1514.9713485485056
0 days 00:06:07.616000,2265.901378577189
0 days 00:06:08.616000,2592.415807873463
0 days 00:06:09.616000,969.0293742017531
0 days 00:06:10.616000,765.8268733853416
0 days 00:06:11.616000,796.0721570628077
0 days 00:06:12.616000,83.33333333333675
0 days 00:06:13.616000,249.10394265237514
0 days 00:06:14.616000,376.41151951496676
0 days 00:06:15.616000,333.4001068375243
0 days 00:06:16.616000,1526.5957446793727
0 days 00:06:17.616000,462.46000639884477
0 days 00:06:18.616000,2605.8377896671477
0 days 00:06:19.616000,2754.3760587238503
0 days 00:06:20.616000,1015.7828282830054
0 days 00:06:21.616000,183.5317460317433
0 days 00:06:22.616000,1129.464285713131
0 days 00:06:23.616000,1450.543091166931
0 days 00:06:24.616000,267.03612479473736
0 days 00:06:25.616000,1159.2209507030789
0 days 00:06:26.616000,677.965851353127
0 days 00:06:27.616000,2371.628166917349
0 days 00:06:28.616000,636.4522417158491
0 days 00:06:29.616000,724.7861663405786
0 days 00:06:30.616000,599.7023809523582
0 days 00:06:31.616000,1904.7867063423182
0 days 00:06:32.616000,633.9285714288362
0 days 00:06:33.616000,2775.3496503554197
0 days 00:06:34.616000,1561.0579758247875
0 days 00:06:35.616000,877.6379870129431
0 days 00:06:36.616000,247.3324797268373
0 days 00:06:37.616000,881.6673727774436
0 days 00:06:38.616000,1561.8235930764838
0 days 00:06:39.616000,259.4574036511062
0 days 00:06:40.616000,1729.4546850940544
0 days 00:06:41.616000,2599.2918719255317
0 days 00:06:42.616000,1817.8464755106615
0 days 00:06:43.616000,767.286481900436
0 days 00:06:44.616000,1753.3081126558816
0 days 00:06:45.616000,2592.3423423333657
0 days 00:06:46.616000,739.9579208169419
0 days 00:06:47.616000,194.88916256157088
0 days 00:06:48.616000,493.0702917771852
0 days 00:06:49.616000,2068.8492063523945
0 days 00:06:50.616000,389.7698365795144
0 days 00:06:51.616000,1950.5230880264346
0 days 00:06:52.616000,1663.3307659382547
0 days 00:06:53.616000,2126.2946428606106
0 days 00:06:54.616000,2633.145363414333
0 days 00:06:55.616000,1300.455219163342
0 days 00:06:56.616000,995.6709956710032
0 days 00:06:57.616000,885.8663425047007
0 days 00:06:58.616000,946.0486322188145
0 days 00:06:59.616000,1804.6414835917494
0 days 00:07:00.616000,3154.817348371024
0 days 00:07:01.616000,2755.627705624656
0 days 00:07:02.616000,2078.90926641363
0 days 00:07:03.616000,1903.8722826121636
0 days 00:07:04.616000,552.5030525030273
0 days 00:07:05.616000,804.8973875589198
0 days 00:07:06.616000,391.08031272213526
0 days 00:07:07.616000,355.4258241758604
0 days 00:07:08.616000,1023.2594594437467
0 days 00:07:09.616000,1829.6089499936468
0 days 00:07:10.616000,2364.5220588261013
0 days 00:07:11.616000,766.5750915750874
0 days 00:07:12.616000,1402.698863634844
0 days 00:07:13.616000,449.39708720544564
0 days 00:07:14.616000,85.2272727272718
0 days 00:07:15.616000,1666.0487288063996
0 days 00:07:16.616000,2638.047138052961
0 days 00:07:17.616000,272.0895176252063
0 days 00:07:18.616000,331.550802139036
0 days 00:07:19.616000,1077.9146141231768
0 days 00:07:20.616000,96.77822177822111
0 days 00:07:21.616000,537.0153525892251
0 days 00:07:22.616000,2209.4794293732384
0 days 00:07:23.616000,1623.884851710306
0 days 00:07:24.616000,528.4178187403876
0 days 00:07:25.616000,2085.342582980969
0 days 00:07:26.616000,986.2564458972709
0 days 00:07:27.616000,626.0888501744807
0 days 00:07:28.616000,1718.1842172630566
0 days 00:07:29.616000,458.9160839160665
0 days 00:07:30.616000,2260.4700854740536
0 days 00:07:31.616000,433.65320555562215
0 days 00:07:32.616000,390.3256704980713
0 days 00:07:33.616000,2432.923169257549
0 days 00:07:34.616000,512.6096491227182
0 days 00:07:35.616000,2019.80311355527
0 days 00:07:36.616000,218.30100574711867
0 days 00:07:37.616000,1171.522556390118
0 days 00:07:38.616000,615.6800788500765
0 days 00:07:39.616000,214.18327294685696
0 days 00:07:40.616000,1883.3946226201447
0 days 00:07:41.616000,1692.4194677900198
0 days 00:07:42.616000,1620.9657590491636
0 days 00:07:43.616000,1009.8738626956975
0 days 00:07:44.616000,578.3935152589877
0 days 00:07:45.616000,337.1688251981794
0 days 00:07:46.616000,657.295688545807
0 days 00:07:47.616000,1612.0273360187143
0 days 00:07:48.616000,475.1854020297179
0 days 00:07:49.616000,317.61697125331915
0 days 00:07:50.616000,367.6271645022127
0 days 00:07:51.616000,577.380952381115
0 days 00:07:52.616000,2349.572649564572
0 days 00:07:53.616000,177.0320197044416
0 days 00:07:54.616000,591.0145308123177
0 days 00:07:55.616000,1634.2427248705208
0 days 00:07:56.616000,2899.2333679865937
0 days 00:07:57.616000,444.67178584759966
0 days 00:07:58.616000,532.9698477750226
0 days 00:07:59.616000,2012.9369493038023
0 days 00:08:00.616000,2161.557797415345
0 days 00:08:01.616000,1132.3996585302339
0 days 00:08:02.616000,1003.0010196505625
0 days 00:08:03.616000,1089.1812865518837
0 days 00:08:04.616000,970.2380952373837
0 days 00:08:05.616000,299.14529914527907
0 days 00:08:06.616000,998.8474556484914
0 days 00:08:07.616000,494.7916666666507
0 days 00:08:08.616000,758.8798019209993
0 days 00:08:09.616000,676.0196130814585
0 days 00:08:10.616000,462.20930232539104
0 days 00:08:11.616000,492.7383427382621
0 days 00:08:12.616000,1060.6253243405297
0 days 00:08:13.616000,1985.4638009080172
0 days 00:08:14.616000,204.52796734912533
0 days 00:08:15.616000,314.9436261138593
0 days 00:08:16.616000,296.1165225772505
0 days 00:08:17.616000,2053.6297852495813
0 days 00:08:18.616000,347.18593227428664
0 days 00:08:19.616000,512.3644986449741
0 days 00:08:20.616000,644.03044871756
0 days 00:08:21.616000,1440.2744968980453
0 days 00:08:22.616000,1144.7072072068333
0 days 00:08:23.616000,1674.0859449221837
0 days 00:08:24.616000,644.2000981473749
0 days 00:08:25.616000,1355.8360042749302
0 days 00:08:26.616000,1759.2366949407508
0 days 00:08:27.616000,205.94098883571988
0 days 00:08:28.616000,478.46736596758785
0 days 00:08:29.616000,937.058865047254
0 days 00:08:30.616000,1000.3924646795973
0 days 00:08:31.616000,476.13022941988646
0 days 00:08:32.616000,841.3839081210893
0 days 00:08:33.616000,1536.7127085994089
0 days 00:08:34.616000,604.3496186357187
0 days 00:08:35.616000,2821.428571452028
0 days 00:08:36.616000,2159.2841228803577
0 days 00:08:37.616000,393.47165991865626
0 days 00:08:38.616000,493.93939393923785
0 days 00:08:39.616000,317.6253570990686
0 days 00:08:40.616000,1734.8148808523729
0 days 00:08:41.616000,668.2751225501132
0 days 00:08:42.616000,500.38981289015567
0 days 00:08:43.616000,2031.1058959127738
0 days 00:08:44.616000,776.5575742494095
0 days 00:08:45.616000,187.57817385865528
0 days 00:08:46.616000,174.64678178964218
0 days 00:08:47.616000,453.2967032968399
0 days 00:08:48.616000,664.8549835593598
0 days 00:08:49.616000,781.0606060600245
0 days 00:08:50.616000,1724.9594986323805
0 days 00:08:51.616000,3039.7435897493997
0 days 00:08:52.616000,1588.089542048627
0 days 00:08:53.616000,683.1093014129428
0 days 00:08:54.616000,1607.6957098583935
0 days 00:08:55.616000,2042.8442028895856
0 days 00:08:56.616000,172.9462088362844
0 days 00:08:57.616000,667.2077922072981
0 days 00:08:58.616000,695.1884920632328
0 days 00:08:59.616000,651.2919896636671
0 days 00:09:00.616000,236.01398601399458
0 days 00:09:01.616000,2505.6553203052144
0 days 00:09:02.616000,393.8218390803701
0 days 00:09:03.616000,1278.7930323658848
0 days 00:09:04.616000,665.736607143107
0 days 00:09:05.616000,2371.162385398489
0 days 00:09:06.616000,949.5994427046586
0 days 00:09:07.616000,1379.487179483585
0 days 00:09:08.616000,1795.1778385700807
0 days 00:09:09.616000,1241.4434523811353
0 days 00:09:10.616000,115.38461538461942
0 days 00:09:11.616000,667.6267975539399
0 days 00:09:12.616000,2138.074534175617
0 days 00:09:13.616000,205.89668615983624
0 days 00:09:14.616000,2070.819805185893
0 days 00:09:15.616000,3207.318543511178
0 days 00:09:16.616000,878.767458087623
0 days 00:09:17.616000,2133.3900226685655
0 days 00:09:18.616000,1490.7603361528154
0 days 00:09:19.616000,2586.229946512128
0 days 00:09:20.616000,522.0001772424719
0 days 00:09:21.616000,434.8544973546659
0 days 00:09:22.616000,627.9098260241024
0 days 00:09:23.616000,815.5399274037206
0 days 00:09:24.616000,188.7782029291561
0 days 00:09:25.616000,513.0487509097918
0 days 00:09:26.616000,440.4525598624435
0 days 00:09:27.616000,539.9848862019594
0 days 00:09:28.616000,213.61252834468718
0 days 00:09:29.616000,1812.2304582139604
0 days 00:09:30.616000,516.7471042474442
0 days 00:09:31.616000,407.7221850987377
0 days 00:09:32.616000,2258.4436194472732
0 days 00:09:33.616000,466.96883337373623
0 days 00:09:34.616000,1058.2910747384572
0 days 00:09:35.616000,1604.6195521056115
0 days 00:09:36.616000,1176.365546220708
0 days 00:09:37.616000,2067.0090778697872
0 days 00:09:38.616000,3405.0968213348933
0 days 00:09:39.616000,750.7417046890586
0 days 00:09:40.616000,187.13745271123517
0 days 00:09:41.616000,366.63286004043243
0 days 00:09:42.616000,1696.3723411233452
0 days 00:09:43.616000,553.5416666666489
0 days 00:09:44.616000,429.5634920634755
0 days 00:09:45.616000,457.5988512677142
0 days 00:09:46.616000,992.3267602466627
0 days 00:09:47.616000,1169.4074181352205
0 days 00:09:48.616000,1517.0463934510242
0 days 00:09:49.616000,544.9263443928844
0 days 00:09:50.616000,523.789787797703
0 days 00:09:51.616000,947.5035730848833
0 days 00:09:52.616000,998.1818181782598
0 days 00:09:53.616000,1110.2264902638133
0 days 00:09:54.616000,602.0561002179434
0 days 00:09:55.616000,844.1956327984806
0 days 00:09:56.616000,1130.5199430214363
0 days 00:09:57.616000,581.2058497500184
0 days 00:09:58.616000,676.6818913250894
0 days 00:09:59.616000,2073.165804801111
0 days 00:10:00.616000,756.3651137587309
0 days 00:10:01.616000,87.50000000000023
0 days 00:10:02.616000,2230.6604634104906
0 days 00:10:03.616000,191.62087912085343
0 days 00:10:04.616000,1289.8936170212319
0 days 00:10:05.616000,150.74938021182354
0 days 00:10:06.616000,167.64227790767325
0 days 00:10:07.616000,2900.771103889354
0 days 00:10:08.616000,1469.2297730502034
0 days 00:10:09.616000,37.68844221105295
0 days 00:10:10.616000,2004.479024380167
0 days 00:10:11.616000,181.02372034955843
0 days 00:10:12.616000,2026.785714278822
0 days 00:10:13.616000,150.31999863948172
0 days 00:10:14.616000,212.25731671982248
0 days 00:10:15.616000,186.12852664578207
0 days 00:10:16.616000,181.39367816093377
0 days 00:10:17.616000,176.7786992579775
0 days 00:10:18.616000,950.0280347630456
0 days 00:10:19.616000,2552.4891775127667
0 days 00:10:20.616000,169.64285714289602
0 days 00:10:21.616000,1368.6744290221752
0 days 00:10:22.616000,69.44444444444181
0 days 00:10:23.616000,173.95320197045788
0 days 00:10:24.616000,168.60465116278672
0 days 00:10:25.616000,175.60664112389696
0 days 00:10:26.616000,2615.384615408201
0 days 00:10:27.616000,78.98200965335457
0 days 00:10:28.616000,197.949320794158
0 days 00:10:29.616000,3791.208791190882
0 days 00:10:30.616000,167.1144121365764
0 days 00:10:31.616000,953.4832451498606
0 days 00:10:32.616000,68.80733944954466
0 days 00:10:33.616000,170.1807228915624
0 days 00:10:34.616000,173.42799188636585
0 days 00:10:35.616000,3791.352031625392
0 days 00:10:36.616000,169.3059299191748
0 days 00:10:37.616000,1365.9688013165517
0 days 00:10:38.616000,1907.3275862112625
0 days 00:10:39.616000,64.10256410256167
0 days 00:10:40.616000,2209.8214285624667
0 days 00:10:41.616000,3802.0833333687165
0 days 00:10:42.616000,141.91919191918655
0 days 00:10:43.616000,199.31959030960638
0 days 00:10:44.616000,176.18534482760342
0 days 00:10:45.616000,3800.6756756577715
0 days 00:10:46.616000,3788.265306104544
0 days 00:10:47.616000,139.1814203216538
0 days 00:10:48.616000,171.29629629628982
0 days 00:10:49.616000,196.42857142856397
0 days 00:10:50.616000,172.91499599039386
0 days 00:10:51.616000,183.9285714285418
0 days 00:10:52.616000,182.8817733990362
0 days 00:10:53.616000,150.85487786634582
0 days 00:10:54.616000,1365.9688013165096
0 days 00:10:55.616000,169.98626373630424
