mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
1.2327733039855957,0.08036976917218734,0.07591886520385742,0.005634079484348276,10,1,5,300,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 300}",0.2,0.4,0.2,0.4,0.5,0.5,0.0,0.0,0.25,0.25,0.27,0.17204650534085256,7
2.2334677934646607,0.6296944653202879,0.14686083793640137,0.02328285880434465,10,1,5,500,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 500}",0.2,0.4,0.2,0.4,0.5,0.5,0.0,0.0,0.25,0.25,0.27,0.17204650534085256,7
0.5606058597564697,0.1524379580713683,0.04961650371551514,0.02033995914386737,10,2,2,100,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.2,0.2,0.2,0.2,0.5,0.5,0.0,0.0,0.5,0.25,0.255,0.1795132307101624,22
1.5551096677780152,0.2120210433294639,0.08720760345458985,0.023322315479762486,10,2,2,300,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2, 'clf__n_estimators': 300}",0.2,0.2,0.2,0.4,0.5,0.5,0.0,0.0,0.5,0.25,0.275,0.1833712082089225,4
2.8030815362930297,0.4447963842186552,0.15298922061920167,0.023437355098868316,10,2,2,500,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2, 'clf__n_estimators': 500}",0.2,0.2,0.2,0.4,0.5,0.5,0.0,0.0,0.25,0.25,0.25,0.16733200530681513,25
0.6829127788543701,0.1522606990349206,0.044641518592834474,0.01576114359656259,10,2,5,100,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.2,0.4,0.2,0.4,0.5,0.25,0.0,0.0,0.5,0.25,0.27,0.17204650534085253,7
1.8097676277160644,0.1697789351700576,0.09235503673553466,0.010837146332865586,10,2,5,300,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5, 'clf__n_estimators': 300}",0.2,0.2,0.2,0.4,0.5,0.5,0.0,0.0,0.5,0.5,0.3,0.19493588689617927,1
2.6475630044937133,0.3098573830204118,0.1393874168395996,0.011045100022927731,10,2,5,500,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5, 'clf__n_estimators': 500}",0.2,0.4,0.2,0.4,0.5,0.5,0.0,0.0,0.25,0.25,0.27,0.17204650534085256,7
0.5301183223724365,0.08101461753438109,0.043921256065368654,0.017143493152411638,20,1,2,100,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.2,0.4,0.2,0.4,0.5,0.25,0.0,0.0,0.25,0.25,0.24500000000000002,0.15402921800749364,28
1.4017882585525512,0.09203946740371512,0.08659799098968506,0.00480432253609884,20,1,2,300,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 300}",0.0,0.2,0.2,0.4,0.5,0.25,0.0,0.0,0.0,0.25,0.18,0.17058722109231983,35
2.57431378364563,0.5121146136763447,0.16198441982269288,0.04860267314745367,20,1,2,500,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 500}",0.0,0.4,0.2,0.4,0.5,0.25,0.0,0.0,0.0,0.25,0.2,0.18303005217723128,32
0.46592559814453127,0.09959063670888127,0.040380001068115234,0.010605748637379037,20,1,5,100,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.2,0.4,0.2,0.4,0.5,0.5,0.0,0.0,0.25,0.25,0.27,0.17204650534085256,7
1.7885797023773193,0.18215904660876445,0.08512072563171387,0.005908789655543751,20,1,5,300,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 300}",0.2,0.4,0.2,0.4,0.5,0.5,0.0,0.0,0.25,0.25,0.27,0.17204650534085256,7
2.614325666427612,0.3457686492370089,0.12546846866607667,0.0043607651525770594,20,1,5,500,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 500}",0.2,0.4,0.2,0.4,0.5,0.5,0.0,0.0,0.25,0.25,0.27,0.17204650534085256,7
0.3416782855987549,0.038837020951618326,0.03808495998382568,0.00562665811576436,20,2,2,100,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.2,0.2,0.2,0.2,0.5,0.5,0.0,0.0,0.5,0.25,0.255,0.1795132307101624,22
1.12869713306427,0.10694348995045512,0.09580307006835938,0.0257392982216346,20,2,2,300,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2, 'clf__n_estimators': 300}",0.2,0.2,0.2,0.4,0.5,0.5,0.0,0.0,0.5,0.25,0.275,0.1833712082089225,4
2.4752060651779173,0.3025188232132506,0.14820663928985595,0.03197603633826998,20,2,2,500,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2, 'clf__n_estimators': 500}",0.2,0.2,0.2,0.4,0.5,0.5,0.0,0.0,0.25,0.25,0.25,0.16733200530681513,25
0.4514471530914307,0.09987945801009468,0.0497340202331543,0.02664669785198502,20,2,5,100,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.2,0.4,0.2,0.4,0.5,0.25,0.0,0.0,0.5,0.25,0.27,0.17204650534085253,7
1.5633726358413695,0.3275018845208937,0.08660888671875,0.006603589728260191,20,2,5,300,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5, 'clf__n_estimators': 300}",0.2,0.2,0.2,0.4,0.5,0.5,0.0,0.0,0.5,0.5,0.3,0.19493588689617927,1
2.3141565799713133,0.4750713350820008,0.11987085342407226,0.016501108805193093,20,2,5,500,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5, 'clf__n_estimators': 500}",0.2,0.4,0.2,0.4,0.5,0.5,0.0,0.0,0.25,0.25,0.27,0.17204650534085256,7
